End date,"8/16/2018"
Specimen label,"D60L40N5d4"
Maximum Load,"11.33875",N
Extension at Maximum Load,"283.00095",mm
Maximum Slope (Automatic Young's),"0.04222",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"34.20000","17.10088","0.73831"
"34.30000","17.15105","0.74144"
"34.40000","17.20085","0.74265"
"34.50000","17.25101","0.74260"
"34.60000","17.30094","0.74737"
"34.70000","17.35098","0.74951"
"34.80000","17.40097","0.75189"
"34.90000","17.45095","0.75287"
"35.00000","17.50093","0.75552"
"35.10000","17.55092","0.75951"
"35.20000","17.60096","0.76129"
"35.30000","17.65095","0.76088"
"35.40000","17.70087","0.76301"
"35.50000","17.75097","0.76489"
"35.60000","17.80096","0.76630"
"35.70000","17.85106","0.76899"
"35.80000","17.90093","0.77169"
"35.90000","17.95091","0.77817"
"36.00000","18.00096","0.78001"
"36.10000","18.05100","0.78126"
"36.20000","18.10098","0.78297"
"36.30000","18.15097","0.78341"
"36.40000","18.20101","0.78370"
"36.50000","18.25105","0.78637"
"36.60000","18.30092","0.78867"
"36.70000","18.35102","0.79050"
"36.80000","18.40095","0.79224"
"36.90000","18.45099","0.79385"
"37.00000","18.50092","0.79535"
"37.10000","18.55096","0.79582"
"37.20000","18.60094","0.79696"
"37.30000","18.65099","0.80010"
"37.40000","18.70091","0.80372"
"37.50000","18.75095","0.80464"
"37.60000","18.80088","0.80703"
"37.70000","18.85092","0.80866"
"37.80000","18.90097","0.81005"
"37.90000","18.95101","0.80812"
"38.00000","19.00093","0.81119"
"38.10000","19.05098","0.81383"
"38.20000","19.10090","0.81494"
"38.30000","19.15101","0.81602"
"38.40000","19.20093","0.81909"
"38.50000","19.25091","0.82253"
"38.60000","19.30096","0.82439"
"38.70000","19.35094","0.82601"
"38.80000","19.40093","0.82758"
"38.90000","19.45091","0.82925"
"39.00000","19.50095","0.83132"
"39.10000","19.55100","0.83463"
"39.20000","19.60092","0.83934"
"39.30000","19.65103","0.84045"
"39.40000","19.70095","0.84185"
"39.50000","19.75099","0.84438"
"39.60000","19.80092","0.84523"
"39.70000","19.85090","0.84801"
"39.80000","19.90088","0.85053"
"39.90000","19.95099","0.85208"
"40.00000","20.00097","0.85434"
"40.10000","20.05102","0.85635"
"40.20000","20.10088","0.85880"
"40.30000","20.15099","0.86087"
"40.40000","20.20085","0.86286"
"40.50000","20.25101","0.86471"
"40.60000","20.30094","0.86720"
"40.70000","20.35104","0.87049"
"40.80000","20.40096","0.87210"
"40.90000","20.45089","0.87445"
"41.00000","20.50081","0.87599"
"41.10000","20.55092","0.87872"
"41.20000","20.60102","0.88057"
"41.30000","20.65089","0.88255"
"41.40000","20.70093","0.88535"
"41.50000","20.75091","0.88659"
"41.60000","20.80096","0.88929"
"41.70000","20.85106","0.89088"
"41.80000","20.90099","0.89321"
"41.90000","20.95091","0.89484"
"42.00000","21.00095","0.89788"
"42.10000","21.05094","0.89960"
"42.20000","21.10092","0.90277"
"42.30000","21.15097","0.90585"
"42.40000","21.20095","0.90666"
"42.50000","21.25111","0.91069"
"42.60000","21.30092","0.91171"
"42.70000","21.35096","0.91437"
"42.80000","21.40095","0.91719"
"42.90000","21.45093","0.91921"
"43.00000","21.50097","0.92143"
"43.10000","21.55090","0.92468"
"43.20000","21.60088","0.92717"
"43.30000","21.65099","0.93025"
"43.40000","21.70097","0.93190"
"43.50000","21.75096","0.93424"
"43.60000","21.80100","0.93590"
"43.70000","21.85086","0.93793"
"43.80000","21.90103","0.94095"
"43.90000","21.95095","0.94345"
"44.00000","22.00093","0.94496"
"44.10000","22.05098","0.94732"
"44.20000","22.10090","0.94907"
"44.30000","22.15095","0.95326"
"44.40000","22.20099","0.95541"
"44.50000","22.25097","0.95788"
"44.60000","22.30096","0.95889"
"44.70000","22.35106","0.96140"
"44.80000","22.40087","0.96349"
"44.90000","22.45097","0.96528"
"45.00000","22.50095","0.96819"
"45.10000","22.55106","0.97060"
"45.20000","22.60092","0.97287"
"45.30000","22.65091","0.97364"
"45.40000","22.70095","0.97237"
"45.50000","22.75099","0.97508"
"45.60000","22.80098","0.97966"
"45.70000","22.85096","0.98257"
"45.80000","22.90089","0.98369"
