End date,"8/16/2018"
Specimen label,"D32L50N6d4"
Maximum Load,"19.30017",N
Extension at Maximum Load,"96.10103",mm
Maximum Slope (Automatic Young's),"0.22871",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"61.70000","30.85098","7.08847"
"61.80000","30.90102","7.10232"
"61.90000","30.95113","7.11946"
"62.00000","31.00111","7.13259"
"62.10000","31.05110","7.14693"
"62.20000","31.10108","7.16106"
"62.30000","31.15112","7.17412"
"62.40000","31.20111","7.18587"
"62.50000","31.25115","7.19732"
"62.60000","31.30107","7.20458"
"62.70000","31.35100","7.21165"
"62.80000","31.40104","7.21579"
"62.90000","31.45115","7.21946"
"63.00000","31.50113","7.22641"
"63.10000","31.55106","7.24117"
"63.20000","31.60110","7.24749"
"63.30000","31.65108","7.25902"
"63.40000","31.70101","7.27127"
"63.50000","31.75111","7.28353"
"63.60000","31.80110","7.29877"
"63.70000","31.85114","7.31012"
"63.80000","31.90118","7.32145"
"63.90000","31.95093","7.33717"
"64.00000","32.00115","7.35231"
"64.10000","32.05107","7.36767"
"64.20000","32.10118","7.37977"
"64.30000","32.15110","7.39019"
"64.40000","32.20109","7.40119"
"64.50000","32.25101","7.41136"
"64.60000","32.30118","7.42121"
"64.70000","32.35110","7.43164"
"64.80000","32.40115","7.44119"
"64.90000","32.45113","7.45188"
"65.00000","32.50111","7.46346"
"65.10000","32.55109","7.47554"
"65.20000","32.60114","7.48707"
"65.30000","32.65112","7.49894"
"65.40000","32.70105","7.50948"
"65.50000","32.75103","7.51939"
"65.60000","32.80107","7.52885"
"65.70000","32.85106","7.54153"
"65.80000","32.90105","7.55111"
"65.90000","32.95109","7.56420"
"66.00000","33.00107","7.57814"
"66.10000","33.05106","7.58893"
"66.20000","33.10110","7.60155"
"66.30000","33.15102","7.60705"
"66.40000","33.20113","7.61503"
"66.50000","33.25099","7.62296"
"66.60000","33.30104","7.63416"
"66.70000","33.35108","7.64336"
"66.80000","33.40112","7.65561"
"66.90000","33.45111","7.66962"
"67.00000","33.50109","7.68360"
"67.10000","33.55101","7.69895"
"67.20000","33.60124","7.71117"
"67.30000","33.65116","7.73048"
"67.40000","33.70103","7.74022"
"67.50000","33.75101","7.75416"
"67.60000","33.80112","7.76421"
"67.70000","33.85116","7.77674"
"67.80000","33.90108","7.78933"
"67.90000","33.95107","7.79576"
"68.00000","34.00117","7.80686"
"68.10000","34.05109","7.81410"
"68.20000","34.10096","7.82091"
"68.30000","34.15106","7.82616"
"68.40000","34.20111","7.83724"
"68.50000","34.25109","7.84737"
"68.60000","34.30107","7.85747"
"68.70000","34.35100","7.87201"
"68.80000","34.40104","7.88640"
"68.90000","34.45103","7.89986"
"69.00000","34.50107","7.90975"
"69.10000","34.55106","7.92240"
"69.20000","34.60104","7.93617"
"69.30000","34.65108","7.94819"
"69.40000","34.70113","7.96172"
"69.50000","34.75105","7.97637"
"69.60000","34.80116","7.99375"
"69.70000","34.85108","8.00380"
"69.80000","34.90112","8.01442"
"69.90000","34.95105","8.02609"
"70.00000","35.00103","8.03122"
"70.10000","35.05113","8.04075"
"70.20000","35.10118","8.04641"
"70.30000","35.15104","8.05219"
"70.40000","35.20109","8.05897"
"70.50000","35.25095","8.07200"
"70.60000","35.30112","8.08350"
"70.70000","35.35116","8.09650"
"70.80000","35.40108","8.11048"
"70.90000","35.45107","8.12227"
"71.00000","35.50111","8.13361"
"71.10000","35.55116","8.14660"
"71.20000","35.60108","8.16037"
"71.30000","35.65113","8.17430"
"71.40000","35.70105","8.18462"
"71.50000","35.75103","8.19946"
"71.60000","35.80096","8.20844"
"71.70000","35.85106","8.21817"
"71.80000","35.90110","8.22755"
"71.90000","35.95103","8.23735"
"72.00000","36.00119","8.24563"
"72.10000","36.05106","8.25655"
"72.20000","36.10104","8.26874"
"72.30000","36.15108","8.28051"
"72.40000","36.20113","8.29479"
"72.50000","36.25099","8.30785"
"72.60000","36.30109","8.31952"
"72.70000","36.35102","8.33321"
"72.80000","36.40106","8.34362"
"72.90000","36.45117","8.35395"
"73.00000","36.50103","8.36246"
"73.10000","36.55108","8.37519"
"73.20000","36.60112","8.38840"
"73.30000","36.65105","8.40075"
"73.40000","36.70103","8.41428"
"73.50000","36.75113","8.42253"
"73.60000","36.80111","8.43613"
"73.70000","36.85116","8.44135"
"73.80000","36.90102","8.44942"
"73.90000","36.95113","8.45706"
"74.00000","37.00111","8.46786"
"74.10000","37.05110","8.47858"
"74.20000","37.10102","8.48714"
"74.30000","37.15100","8.49951"
"74.40000","37.20105","8.51352"
"74.50000","37.25109","8.52545"
"74.60000","37.30107","8.54111"
"74.70000","37.35106","8.55535"
"74.80000","37.40104","8.56514"
"74.90000","37.45103","8.57962"
"75.00000","37.50107","8.59206"
"75.10000","37.55112","8.60437"
"75.20000","37.60104","8.61551"
"75.30000","37.65114","8.62723"
"75.40000","37.70113","8.63389"
"75.50000","37.75111","8.64306"
"75.60000","37.80109","8.64914"
"75.70000","37.85102","8.65849"
"75.80000","37.90100","8.66243"
"75.90000","37.95111","8.67733"
"76.00000","38.00103","8.69139"
"76.10000","38.05114","8.70535"
"76.20000","38.10112","8.71592"
"76.30000","38.15122","8.73245"
"76.40000","38.20109","8.74320"
"76.50000","38.25101","8.75553"
"76.60000","38.30106","8.76673"
"76.70000","38.35110","8.77883"
"76.80000","38.40108","8.79126"
"76.90000","38.45113","8.80447"
"77.00000","38.50111","8.81557"
"77.10000","38.55116","8.83086"
"77.20000","38.60114","8.84148"
"77.30000","38.65107","8.85059"
"77.40000","38.70105","8.85932"
"77.50000","38.75109","8.86426"
"77.60000","38.80101","8.87266"
"77.70000","38.85112","8.88293"
"77.80000","38.90104","8.88702"
"77.90000","38.95109","8.90231"
"78.00000","39.00107","8.91197"
"78.10000","39.05112","8.93090"
"78.20000","39.10104","8.93789"
"78.30000","39.15108","8.95156"
"78.40000","39.20119","8.96489"
"78.50000","39.25105","8.97608"
"78.60000","39.30103","8.99016"
"78.70000","39.35108","9.00835"
"78.80000","39.40106","9.02143"
"78.90000","39.45116","9.03370"
"79.00000","39.50109","9.04556"
"79.10000","39.55102","9.05287"
"79.20000","39.60112","9.06032"
