End date,"8/16/2018"
Specimen label,"D32L50N5d2"
Maximum Load,"1.85787",N
Extension at Maximum Load,"153.77586",mm
Maximum Slope (Automatic Young's),"0.01484",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"50.70000","25.35100","0.38627"
"50.80000","25.40104","0.38636"
"50.90000","25.45103","0.38501"
"51.00000","25.50095","0.38862"
"51.10000","25.55100","0.38725"
"51.20000","25.60092","0.38913"
"51.30000","25.65103","0.38825"
"51.40000","25.70101","0.38838"
"51.50000","25.75093","0.38968"
"51.60000","25.80098","0.39364"
"51.70000","25.85096","0.39068"
"51.80000","25.90100","0.39130"
"51.90000","25.95111","0.39508"
"52.00000","26.00097","0.39546"
"52.10000","26.05102","0.39665"
"52.20000","26.10112","0.39648"
"52.30000","26.15104","0.39591"
"52.40000","26.20109","0.39486"
"52.50000","26.25096","0.39912"
"52.60000","26.30106","0.39904"
"52.70000","26.35092","0.39897"
"52.80000","26.40096","0.39741"
"52.90000","26.45101","0.40250"
"53.00000","26.50105","0.39821"
"53.10000","26.55110","0.39988"
"53.20000","26.60096","0.40296"
"53.30000","26.65095","0.40315"
"53.40000","26.70099","0.40488"
"53.50000","26.75103","0.40119"
"53.60000","26.80102","0.40545"
"53.70000","26.85094","0.40328"
"53.80000","26.90098","0.40438"
"53.90000","26.95091","0.40601"
"54.00000","27.00107","0.40641"
"54.10000","27.05094","0.40726"
"54.20000","27.10092","0.40676"
"54.30000","27.15102","0.40812"
"54.40000","27.20101","0.40802"
"54.50000","27.25099","0.40826"
"54.60000","27.30098","0.41020"
"54.70000","27.35096","0.40958"
"54.80000","27.40112","0.41168"
"54.90000","27.45093","0.41225"
"55.00000","27.50097","0.41135"
"55.10000","27.55096","0.41276"
"55.20000","27.60106","0.41259"
"55.30000","27.65099","0.41364"
"55.40000","27.70097","0.41378"
"55.50000","27.75095","0.41395"
"55.60000","27.80106","0.41544"
"55.70000","27.85098","0.41495"
"55.80000","27.90108","0.41688"
"55.90000","27.95089","0.41815"
"56.00000","28.00105","0.41653"
"56.10000","28.05103","0.41824"
"56.20000","28.10102","0.41720"
"56.30000","28.15100","0.41903"
"56.40000","28.20105","0.41932"
"56.50000","28.25097","0.42075"
"56.60000","28.30096","0.42099"
"56.70000","28.35094","0.42315"
"56.80000","28.40098","0.41978"
"56.90000","28.45115","0.42085"
"57.00000","28.50095","0.42351"
"57.10000","28.55094","0.42718"
"57.20000","28.60092","0.42295"
"57.30000","28.65096","0.42841"
"57.40000","28.70107","0.42924"
"57.50000","28.75093","0.42411"
"57.60000","28.80098","0.42876"
"57.70000","28.85090","0.42658"
"57.80000","28.90095","0.42849"
"57.90000","28.95105","0.42928"
"58.00000","29.00097","0.43008"
"58.10000","29.05096","0.43203"
"58.20000","29.10112","0.42940"
"58.30000","29.15093","0.43262"
"58.40000","29.20097","0.43593"
"58.50000","29.25101","0.43391"
"58.60000","29.30106","0.43406"
"58.70000","29.35092","0.43625"
"58.80000","29.40097","0.43517"
"58.90000","29.45095","0.43563"
"59.00000","29.50105","0.43746"
"59.10000","29.55104","0.44019"
"59.20000","29.60090","0.43811"
"59.30000","29.65089","0.44138"
"59.40000","29.70087","0.44203"
"59.50000","29.75103","0.44202"
"59.60000","29.80102","0.44314"
"59.70000","29.85100","0.44436"
"59.80000","29.90093","0.44266"
"59.90000","29.95097","0.44506"
"60.00000","30.00101","0.44576"
"60.10000","30.05100","0.44562"
"60.20000","30.10092","0.44703"
"60.30000","30.15096","0.44831"
"60.40000","30.20107","0.44899"
"60.50000","30.25088","0.45039"
"60.60000","30.30098","0.44904"
"60.70000","30.35096","0.45127"
"60.80000","30.40107","0.45247"
"60.90000","30.45093","0.45399"
"61.00000","30.50092","0.45340"
"61.10000","30.55084","0.45395"
"61.20000","30.60106","0.45397"
"61.30000","30.65092","0.45455"
"61.40000","30.70097","0.45661"
"61.50000","30.75095","0.45582"
"61.60000","30.80094","0.46072"
"61.70000","30.85098","0.45986"
"61.80000","30.90091","0.46050"
"61.90000","30.95107","0.45992"
"62.00000","31.00088","0.45993"
"62.10000","31.05110","0.46277"
"62.20000","31.10090","0.46034"
"62.30000","31.15094","0.46247"
"62.40000","31.20105","0.46554"
"62.50000","31.25097","0.46488"
"62.60000","31.30101","0.46345"
"62.70000","31.35094","0.46813"
"62.80000","31.40098","0.46445"
"62.90000","31.45103","0.46599"
"63.00000","31.50101","0.47000"
"63.10000","31.55094","0.47081"
"63.20000","31.60086","0.46874"
"63.30000","31.65096","0.46903"
"63.40000","31.70107","0.47179"
"63.50000","31.75105","0.47052"
"63.60000","31.80097","0.47248"
"63.70000","31.85102","0.47321"
"63.80000","31.90100","0.47348"
"63.90000","31.95093","0.47339"
"64.00000","32.00103","0.47401"
"64.10000","32.05096","0.47561"
"64.20000","32.10100","0.47723"
"64.30000","32.15110","0.47631"
"64.40000","32.20085","0.47703"
"64.50000","32.25107","0.47774"
"64.60000","32.30099","0.47779"
"64.70000","32.35104","0.48017"
"64.80000","32.40102","0.48017"
"64.90000","32.45095","0.48120"
"65.00000","32.50093","0.48243"
"65.10000","32.55104","0.48056"
"65.20000","32.60096","0.48013"
"65.30000","32.65100","0.48171"
"65.40000","32.70099","0.48477"
"65.50000","32.75103","0.48642"
"65.60000","32.80102","0.48758"
"65.70000","32.85100","0.48587"
"65.80000","32.90099","0.48408"
"65.90000","32.95097","0.48662"
"66.00000","33.00089","0.48882"
"66.10000","33.05093","0.48573"
"66.20000","33.10092","0.49318"
"66.30000","33.15096","0.49094"
"66.40000","33.20101","0.49374"
"66.50000","33.25099","0.49405"
"66.60000","33.30098","0.49313"
"66.70000","33.35102","0.49129"
"66.80000","33.40094","0.49655"
"66.90000","33.45105","0.49695"
"67.00000","33.50091","0.49512"
"67.10000","33.55096","0.49902"
"67.20000","33.60100","0.49896"
"67.30000","33.65098","0.49764"
"67.40000","33.70097","0.50009"
"67.50000","33.75101","0.50141"
"67.60000","33.80094","0.49964"
"67.70000","33.85110","0.50439"
"67.80000","33.90102","0.50329"
"67.90000","33.95095","0.50400"
"68.00000","34.00099","0.50469"
"68.10000","34.05103","0.50484"
"68.20000","34.10108","0.50606"
"68.30000","34.15100","0.50717"
"68.40000","34.20099","0.50733"
"68.50000","34.25103","0.50947"
"68.60000","34.30096","0.50960"
"68.70000","34.35088","0.50980"
"68.80000","34.40099","0.50891"
"68.90000","34.45103","0.51452"
"69.00000","34.50095","0.51179"
"69.10000","34.55099","0.51276"
"69.20000","34.60092","0.51485"
"69.30000","34.65096","0.51507"
"69.40000","34.70095","0.51544"
"69.50000","34.75099","0.51654"
"69.60000","34.80092","0.51871"
"69.70000","34.85096","0.51917"
"69.80000","34.90100","0.51838"
"69.90000","34.95105","0.52048"
"70.00000","35.00097","0.52116"
"70.10000","35.05107","0.52365"
"70.20000","35.10094","0.52303"
"70.30000","35.15104","0.52489"
"70.40000","35.20097","0.52542"
"70.50000","35.25095","0.52561"
"70.60000","35.30106","0.52693"
"70.70000","35.35104","0.52760"
"70.80000","35.40096","0.52816"
"70.90000","35.45095","0.52849"
"71.00000","35.50093","0.52902"
"71.10000","35.55103","0.53007"
"71.20000","35.60108","0.53069"
"71.30000","35.65094","0.53217"
"71.40000","35.70093","0.53326"
"71.50000","35.75097","0.53447"
"71.60000","35.80101","0.53599"
"71.70000","35.85100","0.53476"
"71.80000","35.90104","0.53684"
"71.90000","35.95097","0.53609"
"72.00000","36.00095","0.53883"
"72.10000","36.05088","0.53915"
"72.20000","36.10098","0.53828"
"72.30000","36.15102","0.54129"
"72.40000","36.20095","0.54292"
"72.50000","36.25111","0.54374"
"72.60000","36.30091","0.54456"
"72.70000","36.35096","0.54411"
"72.80000","36.40100","0.54636"
"72.90000","36.45099","0.54586"
"73.00000","36.50091","0.54671"
"73.10000","36.55102","0.54767"
"73.20000","36.60094","0.54806"
"73.30000","36.65099","0.54891"
"73.40000","36.70109","0.55073"
"73.50000","36.75095","0.55217"
"73.60000","36.80099","0.55211"
"73.70000","36.85098","0.55370"
"73.80000","36.90091","0.55365"
"73.90000","36.95095","0.55364"
"74.00000","37.00105","0.55714"
"74.10000","37.05104","0.55545"
"74.20000","37.10102","0.55784"
"74.30000","37.15094","0.55910"
"74.40000","37.20099","0.55952"
"74.50000","37.25103","0.55713"
"74.60000","37.30101","0.56160"
"74.70000","37.35088","0.55948"
"74.80000","37.40092","0.56183"
"74.90000","37.45097","0.56535"
"75.00000","37.50101","0.56610"
"75.10000","37.55100","0.56289"
"75.20000","37.60092","0.56323"
"75.30000","37.65091","0.56611"
"75.40000","37.70095","0.56201"
"75.50000","37.75105","0.56758"
"75.60000","37.80098","0.57130"
"75.70000","37.85096","0.56906"
"75.80000","37.90100","0.56700"
"75.90000","37.95099","0.57307"
"76.00000","38.00103","0.56642"
"76.10000","38.05102","0.57386"
"76.20000","38.10094","0.57215"
"76.30000","38.15099","0.57485"
"76.40000","38.20103","0.57604"
"76.50000","38.25089","0.57463"
"76.60000","38.30106","0.57563"
"76.70000","38.35098","0.57332"
"76.80000","38.40108","0.57714"
"76.90000","38.45101","0.57346"
"77.00000","38.50093","0.57910"
"77.10000","38.55092","0.57973"
"77.20000","38.60096","0.57865"
"77.30000","38.65107","0.57802"
"77.40000","38.70105","0.58132"
"77.50000","38.75097","0.57661"
"77.60000","38.80101","0.58219"
"77.70000","38.85106","0.58175"
"77.80000","38.90098","0.58191"
"77.90000","38.95091","0.58343"
"78.00000","39.00095","0.58292"
"78.10000","39.05094","0.58330"
"78.20000","39.10098","0.58214"
"78.30000","39.15102","0.58505"
"78.40000","39.20101","0.58557"
"78.50000","39.25099","0.58675"
"78.60000","39.30098","0.58613"
"78.70000","39.35096","0.58686"
"78.80000","39.40094","0.58711"
"78.90000","39.45105","0.58675"
"79.00000","39.50097","0.58890"
"79.10000","39.55096","0.58911"
"79.20000","39.60099","0.59055"
