End date,"8/16/2018"
Specimen label,"D32L50N5d7-6"
Maximum Load,"120.67461",N
Extension at Maximum Load,"24.56800",mm
Maximum Slope (Automatic Young's),"6.12002",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"20.00400","10.00297","59.85735"
"20.03000","10.01600","59.98458"
"20.08400","10.04303","60.11193"
"20.12800","10.06497","60.23991"
"20.17200","10.08691","60.37005"
"20.22000","10.11101","60.50057"
"20.26000","10.13098","60.62566"
"20.29800","10.14999","60.75742"
"20.34200","10.17193","60.88245"
"20.38600","10.19388","61.00945"
"20.43400","10.21797","61.14013"
"20.46600","10.23382","61.27238"
"20.50800","10.25492","61.39945"
"20.55000","10.27603","61.53075"
"20.58400","10.29301","61.65931"
"20.63800","10.32003","61.78876"
"20.67600","10.33899","61.91410"
"20.73000","10.36601","62.04445"
"20.79000","10.39590","62.16996"
"20.85400","10.42795","62.29581"
"20.92000","10.46090","62.42202"
"21.02000","10.51088","62.54893"
"21.11600","10.55901","62.67933"
"21.16200","10.58203","62.81014"
"21.21600","10.60894","62.93948"
"21.25200","10.62693","63.07253"
"21.29000","10.64594","63.19761"
"21.31600","10.65892","63.32724"
"21.33800","10.66992","63.46098"
"21.36800","10.68487","63.59171"
"21.40200","10.70197","63.71898"
"21.42600","10.71405","63.85142"
"21.45200","10.72702","63.97747"
"21.49200","10.74699","64.10667"
"21.53800","10.77001","64.23705"
"21.57400","10.78794","64.36440"
"21.62800","10.81497","64.49049"
"21.66800","10.83500","64.62060"
"21.70400","10.85294","64.74906"
"21.74400","10.87291","64.88239"
"21.77200","10.88696","65.00740"
"21.81600","10.90890","65.13291"
"21.85400","10.92797","65.26028"
"21.89600","10.94896","65.38835"
"21.93000","10.96600","65.51437"
"21.97200","10.98686","65.64174"
"22.02200","11.01198","65.77223"
"22.05600","11.02902","65.90458"
"22.09600","11.04899","66.03363"
"22.13800","11.06997","66.16142"
"22.18000","11.09090","66.29090"
"22.23600","11.11888","66.41821"
"22.27800","11.13993","66.54636"
"22.32800","11.16498","66.67375"
"22.42200","11.21203","66.80068"
"22.51800","11.25998","66.92767"
"22.59400","11.29795","67.05380"
"22.66200","11.33191","67.18030"
