End date,"8/16/2018"
Specimen label,"D32L85N5d4"
Maximum Load,"23.09019",N
Extension at Maximum Load,"77.35085",mm
Maximum Slope (Automatic Young's),"0.34165",N/mm
Rate 1,"30.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"59.70000","29.85094","10.17500"
"59.80000","29.90099","10.19248"
"59.90000","29.95085","10.21391"
"60.00000","30.00089","10.23503"
"60.10000","30.05094","10.25819"
"60.20000","30.10092","10.27404"
"60.30000","30.15103","10.29051"
"60.40000","30.20083","10.29600"
"60.50000","30.25088","10.30563"
"60.60000","30.30092","10.31684"
"60.70000","30.35096","10.32467"
"60.80000","30.40095","10.34570"
"60.90000","30.45093","10.36726"
"61.00000","30.50092","10.38824"
"61.10000","30.55096","10.40658"
"61.20000","30.60100","10.42828"
"61.30000","30.65092","10.45101"
"61.40000","30.70097","10.47374"
"61.50000","30.75095","10.48888"
"61.60000","30.80088","10.50446"
"61.70000","30.85098","10.51840"
"61.80000","30.90097","10.53417"
"61.90000","30.95095","10.54858"
"62.00000","31.00088","10.56456"
"62.10000","31.05098","10.57990"
"62.20000","31.10090","10.59441"
"62.30000","31.15094","10.60929"
"62.40000","31.20093","10.62435"
"62.50000","31.25091","10.64453"
"62.60000","31.30095","10.66882"
"62.70000","31.35094","10.68863"
"62.80000","31.40086","10.70171"
"62.90000","31.45103","10.71275"
"63.00000","31.50089","10.72946"
"63.10000","31.55088","10.74609"
"63.20000","31.60092","10.76687"
"63.30000","31.65090","10.78978"
"63.40000","31.70095","10.81281"
"63.50000","31.75099","10.83024"
"63.60000","31.80091","10.84845"
"63.70000","31.85108","10.86311"
"63.80000","31.90094","10.88108"
"63.90000","31.95099","10.89056"
"64.00000","32.00091","10.90302"
"64.10000","32.05096","10.91170"
"64.20000","32.10094","10.92429"
"64.30000","32.15086","10.93818"
"64.40000","32.20090","10.95876"
"64.50000","32.25101","10.96960"
"64.60000","32.30099","10.98769"
"64.70000","32.35092","11.00837"
"64.80000","32.40090","11.02433"
"64.90000","32.45095","11.04982"
"65.00000","32.50093","11.07387"
"65.10000","32.55098","11.09330"
"65.20000","32.60096","11.11383"
"65.30000","32.65094","11.12597"
"65.40000","32.70093","11.13718"
"65.50000","32.75091","11.14554"
"65.60000","32.80090","11.15545"
"65.70000","32.85100","11.17423"
"65.80000","32.90099","11.19201"
"65.90000","32.95097","11.21066"
"66.00000","33.00089","11.22984"
"66.10000","33.05093","11.24986"
"66.20000","33.10092","11.27087"
"66.30000","33.15084","11.29030"
"66.40000","33.20089","11.30897"
"66.50000","33.25087","11.32006"
"66.60000","33.30104","11.33722"
"66.70000","33.35096","11.35251"
"66.80000","33.40094","11.37162"
"66.90000","33.45093","11.38822"
"67.00000","33.50085","11.40813"
"67.10000","33.55096","11.42438"
"67.20000","33.60094","11.43856"
"67.30000","33.65098","11.45174"
"67.40000","33.70091","11.46849"
"67.50000","33.75095","11.48702"
"67.60000","33.80100","11.50651"
"67.70000","33.85086","11.52177"
"67.80000","33.90097","11.53240"
"67.90000","33.95101","11.54571"
"68.00000","34.00093","11.55978"
"68.10000","34.05091","11.57851"
"68.20000","34.10102","11.59755"
"68.30000","34.15100","11.62109"
"68.40000","34.20087","11.64085"
"68.50000","34.25103","11.66298"
"68.60000","34.30090","11.68687"
"68.70000","34.35088","11.70227"
"68.80000","34.40092","11.71361"
"68.90000","34.45103","11.72991"
"69.00000","34.50089","11.73999"
"69.10000","34.55093","11.74735"
"69.20000","34.60098","11.76126"
"69.30000","34.65084","11.78021"
"69.40000","34.70095","11.79945"
"69.50000","34.75093","11.81736"
"69.60000","34.80098","11.83613"
"69.70000","34.85096","11.85578"
"69.80000","34.90089","11.87352"
"69.90000","34.95081","11.89605"
"70.00000","35.00097","11.91731"
"70.10000","35.05090","11.93409"
"70.20000","35.10100","11.94693"
"70.30000","35.15092","11.96419"
"70.40000","35.20091","11.97642"
"70.50000","35.25095","11.98942"
"70.60000","35.30094","12.00450"
"70.70000","35.35092","12.02144"
"70.80000","35.40091","12.04021"
"70.90000","35.45095","12.05741"
"71.00000","35.50093","12.07435"
"71.10000","35.55091","12.09584"
"71.20000","35.60096","12.11800"
"71.30000","35.65088","12.13291"
"71.40000","35.70093","12.14327"
"71.50000","35.75091","12.15209"
"71.60000","35.80096","12.16381"
"71.70000","35.85094","12.18399"
"71.80000","35.90104","12.20420"
"71.90000","35.95090","12.22496"
"72.00000","36.00089","12.24404"
"72.10000","36.05088","12.26427"
"72.20000","36.10092","12.27964"
"72.30000","36.15090","12.29776"
"72.40000","36.20101","12.31198"
"72.50000","36.25099","12.33150"
"72.60000","36.30098","12.34774"
"72.70000","36.35084","12.35973"
"72.80000","36.40100","12.37303"
"72.90000","36.45093","12.38691"
"73.00000","36.50097","12.40205"
"73.10000","36.55083","12.42268"
"73.20000","36.60094","12.44272"
"73.30000","36.65099","12.46153"
"73.40000","36.70097","12.48181"
"73.50000","36.75089","12.50115"
"73.60000","36.80106","12.52137"
"73.70000","36.85092","12.53922"
"73.80000","36.90091","12.55081"
"73.90000","36.95095","12.56374"
"74.00000","37.00105","12.57344"
"74.10000","37.05092","12.58280"
"74.20000","37.10096","12.59667"
"74.30000","37.15089","12.61793"
"74.40000","37.20099","12.64067"
"74.50000","37.25092","12.65837"
"74.60000","37.30096","12.67797"
"74.70000","37.35088","12.69503"
"74.80000","37.40092","12.71297"
"74.90000","37.45097","12.73329"
"75.00000","37.50101","12.74973"
"75.10000","37.55100","12.76430"
"75.20000","37.60104","12.77823"
"75.30000","37.65097","12.79017"
"75.40000","37.70095","12.80442"
"75.50000","37.75093","12.81834"
"75.60000","37.80091","12.83558"
"75.70000","37.85090","12.85610"
"75.80000","37.90100","12.87352"
"75.90000","37.95093","12.89052"
"76.00000","38.00091","12.91338"
"76.10000","38.05102","12.93425"
"76.20000","38.10088","12.95710"
"76.30000","38.15087","12.96755"
"76.40000","38.20097","12.98099"
"76.50000","38.25089","12.99155"
"76.60000","38.30106","13.00731"
"76.70000","38.35098","13.02124"
"76.80000","38.40102","13.03952"
"76.90000","38.45101","13.05904"
"77.00000","38.50099","13.07781"
"77.10000","38.55098","13.09431"
"77.20000","38.60102","13.10961"
"77.30000","38.65100","13.12821"
"77.40000","38.70087","13.13860"
"77.50000","38.75097","13.14964"
"77.60000","38.80101","13.16940"
"77.70000","38.85094","13.18195"
"77.80000","38.90104","13.19470"
"77.90000","38.95097","13.20624"
"78.00000","39.00089","13.22833"
"78.10000","39.05088","13.24703"
"78.20000","39.10098","13.26630"
"78.30000","39.15096","13.28334"
"78.40000","39.20095","13.29931"
"78.50000","39.25093","13.32224"
"78.60000","39.30085","13.34372"
"78.70000","39.35096","13.35555"
"78.80000","39.40094","13.37648"
"78.90000","39.45093","13.38317"
"79.00000","39.50091","13.39320"
"79.10000","39.55096","13.40039"
"79.20000","39.60094","13.41444"
